lon,lat,locality,year,month,kingdom,class,family,genus,species
-7.2,62.25,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Myggenæs, E-end",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-7.0,62.0,"Strømø, Saxen",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-6.0,61.0,Sandø,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-6.0,61.0,"Suderø, Vaags Ejde",1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-71.26666,41.58333,Portsmouth,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
-7.600833,62.106389,No locality information available,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-6.833333,61.466667,Vágseidi,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
,,Waialua,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,"Ulva lactuca f. lacinulata (Kütz.) Hauck, 1884"
-76.285218,36.846815,Norfolk,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,Insula Suderø. Vaago Ejde,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata (L.) Decne. & Thur.
-69.0,38.13,I Gulfstroinmen Atlanterhavet,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
-157.890943,21.591276,"Punalulu, HI",1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
-158.125363,21.571408,"Waialua, Oahu, HI",1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-155.5,19.1333,Punaluu,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-155.5,19.1333,Punaluu,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
9.73,55.5,Middelfart,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.73,55.5,Middelfart,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.0,55.0,Middelfart (E of),1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.0,55.0,Middelfart (E of),1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
8.0,55.0,Fanø,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
9.0,55.0,Fredericia,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
9.0,55.0,Middelfart Havn to Kongebroen,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
8.0,55.0,Esbjerg,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
8.0,55.0,"Fanø, Nordby",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
9.0,55.0,Middelfart (E of),1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,Fredericia,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,Middelfart Havn to Kongebroen,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,"Vejle Fjord, Munkebjerg",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
9.0,55.0,"Fænø, N-side of Fænø Kalv",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,55.0,Esbjerg,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,55.0,"Fanø, Nordby",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.43,55.470001,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.42,55.450001,"Fanø,",1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
9.75,55.57,Fredericia,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.43,55.470001,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
11.68,55.200001,Karrebæksfjord,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,55.0,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
9.0,55.0,Fredericia,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,55.0,Esbjerg,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
8.0,55.0,"Fanø, Nordby",1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
9.0,55.0,Middelfart Havn to Kongebroen,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
17.0,58.0,Suecia. Oxelösund,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,"Frankrike, Loires mynning.",1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
,,England. Yarmouth.,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
,,,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
,,Redmond,1900,7.0,Plantae,Ulvophyceae,Codiaceae,Codium,Codium tomentosum Stackh.
-158.125836,21.5706,"Waialua, Oahu",1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
-158.125836,21.5706,Waialua,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,Punaluu,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva fasciata Delile
,,[no additional data],1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca L.
,,Woods Hole.,1900,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.45,57.029999,"Klitmøller, Ørhage",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
8.0,56.0,Thyborøn,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
8.0,57.0,"Klitmøller, inside Ørhage",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum (L.) Le Jol.
10.0,55.0,"Samsø, Yderste Holm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Kyholm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Havnehage, N-part of Besser Rev",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Koldby Kås",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis L.
10.0,55.0,"Samsø, Kyholm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
10.0,55.0,"Samsø, S-part of Besser Rev",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
10.0,55.0,"Samsø, Koldby Kås",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
8.0,56.0,Thyborøn,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
10.0,55.0,"Samsø, Yderste Holm",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
10.0,55.0,"Samsø, Koldby Kås",1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus L.
-71.26666,41.58333,Portsmouth,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus L.
