,DATE,AvgTemp
214,8/3/2014,52.0
215,8/4/2014,54.0
216,8/5/2014,52.0
217,8/6/2014,50.0
218,8/7/2014,46.0
219,8/8/2014,47.0
220,8/9/2014,48.0
221,8/10/2014,46.0
222,8/11/2014,48.0
223,8/12/2014,49.0
224,8/13/2014,52.0
225,8/14/2014,54.0
226,8/15/2014,54.0
227,8/16/2014,52.0
228,8/17/2014,49.0
229,8/18/2014,48.0
230,8/19/2014,46.0
231,8/20/2014,46.0
232,8/21/2014,48.0
233,8/22/2014,48.0
234,8/23/2014,52.0
235,8/24/2014,51.0
236,8/25/2014,51.0
237,8/26/2014,49.0
238,8/27/2014,48.0
239,8/28/2014,48.0
240,8/29/2014,47.0
241,8/30/2014,52.0
242,8/31/2014,51.0
243,9/1/2014,47.0
244,9/2/2014,51.0
245,9/3/2014,51.0
246,9/4/2014,51.0
247,9/5/2014,53.0
248,9/6/2014,50.0
249,9/7/2014,47.0
250,9/8/2014,46.0
251,9/9/2014,47.0
252,9/10/2014,48.0
253,9/11/2014,49.0
254,9/12/2014,50.0
255,9/13/2014,51.0
256,9/14/2014,51.0
257,9/15/2014,50.0
258,9/16/2014,46.0
259,9/17/2014,46.0
260,9/18/2014,46.0
261,9/19/2014,47.0
262,9/20/2014,46.0
263,9/21/2014,45.0
264,9/22/2014,48.0
265,9/23/2014,50.0
266,9/24/2014,50.0
267,9/25/2014,48.0
268,9/26/2014,51.0
269,9/27/2014,47.0
270,9/28/2014,49.0
271,9/29/2014,47.0
272,9/30/2014,44.0
273,10/1/2014,45.0
274,10/2/2014,45.0
275,10/3/2014,44.0
276,10/4/2014,45.0
277,10/5/2014,46.0
278,10/6/2014,46.0
279,10/7/2014,48.0
280,10/8/2014,49.0
281,10/9/2014,51.0
282,10/10/2014,49.0
283,10/11/2014,47.0
284,10/12/2014,45.0
285,10/13/2014,43.0
286,10/14/2014,46.0
287,10/15/2014,49.0
288,10/16/2014,52.0
289,10/17/2014,48.0
290,10/18/2014,46.0
291,10/19/2014,48.0
292,10/20/2014,51.0
