,date,IPG3113N
0,1972-01-01,85.59880876409277
1,1972-02-01,71.74140353715572
2,1972-03-01,65.94880921350267
3,1972-04-01,64.49072367980841
4,1972-05-01,64.93384186563043
5,1972-06-01,67.56438795861034
6,1972-07-01,68.95526174133363
7,1972-08-01,70.7428146843195
8,1972-09-01,74.9423007591033
9,1972-10-01,106.7743053370924
10,1972-11-01,105.44005720488998
11,1972-12-01,105.8091725564334
12,1973-01-01,91.1633025837076
13,1973-02-01,77.15659339287517
14,1973-03-01,69.51253004804693
15,1973-04-01,70.20242421700308
16,1973-05-01,71.58890376935085
17,1973-06-01,74.77192446317984
18,1973-07-01,71.96301256450282
19,1973-08-01,73.09422727958192
20,1973-09-01,80.50389838142519
21,1973-10-01,102.80731399672231
22,1973-11-01,109.12741570318174
23,1973-12-01,105.09251352973548
24,1974-01-01,88.58199184470791
25,1974-02-01,83.49257425000974
26,1974-03-01,77.11694545062333
27,1974-04-01,67.21914126751575
28,1974-05-01,74.50737182079929
29,1974-06-01,79.4709546365622
30,1974-07-01,65.96528757741086
31,1974-08-01,71.10004564007458
32,1974-09-01,70.10365390242612
33,1974-10-01,99.14292533902986
34,1974-11-01,101.06260479989774
35,1974-12-01,86.86804226051196
36,1975-01-01,67.01081480016738
37,1975-02-01,52.707694796731886
38,1975-03-01,50.6801569539195
39,1975-04-01,59.76502851755645
40,1975-05-01,60.82154131625177
41,1975-06-01,63.33853650157344
42,1975-07-01,62.26234953506047
43,1975-08-01,66.81776827026115
44,1975-09-01,66.19748270520806
45,1975-10-01,96.10441490323204
46,1975-11-01,105.3064326539254
47,1975-12-01,101.80852540614174
48,1976-01-01,87.58270390976648
49,1976-02-01,74.83424263941446
50,1976-03-01,61.71726523075203
51,1976-04-01,64.19101719442372
52,1976-05-01,70.27283177188352
53,1976-06-01,67.99212633811806
54,1976-07-01,69.16448702853155
55,1976-08-01,71.53078008574742
56,1976-09-01,76.93358620131767
57,1976-10-01,108.04303948915074
58,1976-11-01,111.8957808397574
59,1976-12-01,114.2743577682503
60,1977-01-01,97.6474888471437
61,1977-02-01,90.25659309326856
62,1977-03-01,77.44471508908804
63,1977-04-01,76.12414899237302
64,1977-05-01,77.92867964362793
65,1977-06-01,78.21280658495395
66,1977-07-01,75.6961110062488
67,1977-08-01,77.9376678421233
68,1977-09-01,83.96095926049098
69,1977-10-01,108.78985891524428
70,1977-11-01,105.74705411794316
71,1977-12-01,112.59706006014105
72,1978-01-01,89.7642395534663
73,1978-02-01,80.18621549904975
74,1978-03-01,76.23879845762514
75,1978-04-01,77.24397865602464
76,1978-05-01,76.57945118059988
77,1978-06-01,78.08876944571777
78,1978-07-01,72.41641724415842
79,1978-08-01,75.87537563179545
80,1978-09-01,82.7108007186564
81,1978-10-01,105.01361712072053
82,1978-11-01,111.65339908699876
83,1978-12-01,114.03467247504028
84,1979-01-01,98.58735480314348
85,1979-02-01,84.71756583605726
86,1979-03-01,80.99864877415953
87,1979-04-01,77.0827902963409
88,1979-05-01,78.28690928810472
89,1979-06-01,80.99185769085192
90,1979-07-01,74.69202936544318
91,1979-08-01,77.00339454296508
92,1979-09-01,80.69344950080544
93,1979-10-01,100.95185022066028
94,1979-11-01,106.56907480478132
95,1979-12-01,105.45893242173024
96,1980-01-01,86.78345332578326
97,1980-02-01,84.29072627639908
98,1980-03-01,74.35097716697976
99,1980-04-01,65.44457127791212
100,1980-05-01,74.23522914413377
101,1980-06-01,76.86817209004577
102,1980-07-01,70.93316475467711
103,1980-08-01,77.16218604971672
104,1980-09-01,77.8636650078447
105,1980-10-01,100.72524774970464
106,1980-11-01,106.60422864778548
107,1980-12-01,106.93439513918226
108,1981-01-01,96.23144810863336
109,1981-02-01,90.3611558024314
110,1981-03-01,77.96003846948956
111,1981-04-01,77.87385163280614
112,1981-05-01,83.17409241665693
113,1981-06-01,82.85760796074754
114,1981-07-01,79.11382354967927
115,1981-08-01,81.6251262092872
116,1981-09-01,83.18677576342265
117,1981-10-01,118.399541402139
118,1981-11-01,116.91139533792128
119,1981-12-01,113.24790550007842
120,1982-01-01,96.00005193181352
121,1982-02-01,93.00218812698928
122,1982-03-01,83.06363744403599
123,1982-04-01,73.52725870931468
124,1982-05-01,76.37402091054446
125,1982-06-01,78.44879672989366
126,1982-07-01,76.1871662507128
127,1982-08-01,77.61319387644025
128,1982-09-01,81.12767935700425
129,1982-10-01,113.88656693761092
130,1982-11-01,114.69230899828528
131,1982-12-01,114.94487737600532
132,1983-01-01,94.99956557040606
133,1983-02-01,87.03522275252594
134,1983-03-01,77.83739949446377
135,1983-04-01,73.61594226780237
136,1983-05-01,75.45722466401614
137,1983-06-01,74.66686240965612
138,1983-07-01,76.23560265371567
139,1983-08-01,79.46186656919465
140,1983-09-01,82.80188113007621
141,1983-10-01,110.33053600622382
142,1983-11-01,106.40289300148903
143,1983-12-01,103.89908050729392
144,1984-01-01,93.75769614496168
145,1984-02-01,86.24266338297815
146,1984-03-01,78.82719988654897
147,1984-04-01,75.59314619904067
148,1984-05-01,77.79745194559544
149,1984-06-01,77.57654200035353
150,1984-07-01,76.81044788193103
151,1984-08-01,81.12428381535045
152,1984-09-01,85.76668833821192
153,1984-10-01,112.01232781358075
154,1984-11-01,115.3479481440868
155,1984-12-01,112.65348597291757
156,1985-01-01,97.54272640023648
157,1985-02-01,86.99108071102643
158,1985-03-01,79.02723723750715
159,1985-04-01,76.09558649493215
160,1985-05-01,77.21751340489938
161,1985-06-01,75.72467350368966
162,1985-07-01,75.08381495096938
163,1985-08-01,79.79552847111742
