,lon,lat,locality,year,month,kingdom,class,family,genus,species,new,state,country,fecha,day,number_ind
22,-70.7167,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"43.075,-70.7167",New Hampshire,United States,1900-05-01,1,4
23,-70.7167,43.075,New Castle,1900,5.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"43.075,-70.7167",New Hampshire,United States,1900-05-01,1,3
24,-70.7167,43.075,New Castle,1900,5.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"43.075,-70.7167",New Hampshire,United States,1900-05-01,1,9
33,-158.117,21.5833,Haleiwa,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"21.5833,-158.117",Hawaii,United States,1900-06-01,1,7
35,-7.0,62.18,Hvalvík,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.18,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,4
36,-7.0,62.18,Hvalvík,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.18,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,9
37,-6.82,61.55,Ørðavík,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"61.55,-6.82",Suðuroyar sýsla,Føroyar,1900-06-01,1,2
38,8.42,55.45,Nordby,1900,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"55.45,8.42",Region Syddanmark,Danmark,1900-06-01,1,2
47,-7.2,62.25,Saksun,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.25,-7.2",Streymoyar sýsla,Føroyar,1900-06-01,1,9
48,-6.32,62.28,Svínoy,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.28,-6.32",Norðoya sýsla,Føroyar,1900-06-01,1,4
50,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,6
51,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,2
52,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,10
56,-6.93,61.6,Hvalba,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"61.6,-6.93",Suðuroyar sýsla,Føroyar,1900-06-01,1,8
57,-6.82,61.55,Ørðavík,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"61.55,-6.82",Suðuroyar sýsla,Føroyar,1900-06-01,1,7
62,10.0,55.0,Fynshav,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark,1900-06-01,1,3
64,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Himanthaliaceae,Himanthalia,Himanthalia elongata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,2
70,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar,1900-06-01,1,4
71,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar,1900-06-01,1,2
72,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar,1900-06-01,1,4
73,-6.32,62.28,Svínoy,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.28,-6.32",Norðoya sýsla,Føroyar,1900-06-01,1,2
75,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,6
76,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,6
77,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,2
78,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,10
79,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,6
80,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,7
81,-7.0,62.0,Koltur,1900,6.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,4
85,-7.2,62.25,Saksun,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.25,-7.2",Streymoyar sýsla,Føroyar,1900-06-01,1,10
86,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,3
87,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,8
88,-7.0,62.0,Koltur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1900-06-01,1,8
96,12.5564,56.0708,Boderne,1900,6.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"56.0708,12.5564",Region Hovedstaden,Danmark,1900-06-01,1,2
97,-6.8333,61.4667,Vágur,1900,6.0,Chromista,Phaeophyceae,Fucaceae,Pelvetia,Pelvetia canaliculata,"61.4667,-6.8333",Suðuroyar sýsla,Føroyar,1900-06-01,1,5
102,-157.8909,21.5913,Punaluu,1900,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"21.5913,-157.8909",Hawaii,United States,1900-06-01,1,3
106,8.42,55.45,Nordby,1900,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"55.45,8.42",Region Syddanmark,Danmark,1900-07-01,1,6
128,8.42,55.45,Nordby,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"55.45,8.42",Region Syddanmark,Danmark,1900-07-01,1,2
131,11.68,55.2,Skraverup,1900,7.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"55.2,11.68",Region Sjælland,Danmark,1900-07-01,1,5
164,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,5
165,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,2
166,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,6
167,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,7
168,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,6
169,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,2
170,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,8
174,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,6
175,10.0,55.0,Fynshav,1900,8.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"55.0,10.0",Region Syddanmark,Danmark,1900-08-01,1,2
217,-71.4495,41.4501,Bridgetown,1900,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"41.4501,-71.4495",Rhode Island,United States,1900-09-01,1,4
258,-63.5565,44.4918,Ketch Harbour,1901,1.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"44.4918,-63.5565",Nova Scotia,Canada,1901-01-01,1,8
259,-66.3658,44.2667,Westport,1901,1.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"44.2667,-66.3658",Nova Scotia,Canada,1901-01-01,1,8
266,-70.6149,42.9785,Rye,1901,4.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"42.9785,-70.6149",New Hampshire,United States,1901-04-01,1,6
297,-66.1587,43.807,Cape Forchu,1901,6.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"43.807,-66.1587",Nova Scotia,Canada,1901-06-01,1,3
307,-121.9506,36.5414,Carmel-by-the-Sea,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"36.5414,-121.9506",California,United States,1901-06-01,1,8
315,-121.9506,36.5414,Carmel-by-the-Sea,1901,6.0,Plantae,Ulvophyceae,Ulvaceae,Ulva,Ulva lactuca,"36.5414,-121.9506",California,United States,1901-06-01,1,10
319,15.12,55.03,Snogebæk,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"55.03,15.12",Region Hovedstaden,Danmark,1901-07-01,1,5
326,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,9.0",Region Nordjylland,Danmark,1901-07-01,1,4
327,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,9.0",Region Nordjylland,Danmark,1901-07-01,1,2
336,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"57.0,9.0",Region Nordjylland,Danmark,1901-07-01,1,9
337,9.0,57.0,Øsløs,1901,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"57.0,9.0",Region Nordjylland,Danmark,1901-07-01,1,5
346,-68.799,44.3315,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.3315,-68.799",Maine,United States,1901-07-01,1,2
347,-68.7995,44.3334,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"44.3334,-68.7995",Maine,United States,1901-07-01,1,9
348,-69.4685,43.8931,Chamberlain,1901,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"43.8931,-69.4685",Maine,United States,1901-07-01,1,5
349,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,7
350,-64.3614,45.1593,Kingsport,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"45.1593,-64.3614",Nova Scotia,Canada,1901-07-01,1,7
351,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,4
352,-60.2594,46.2175,Gannon Road,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"46.2175,-60.2594",Nova Scotia,Canada,1901-07-01,1,9
353,-68.7995,44.3334,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"44.3334,-68.7995",Maine,United States,1901-07-01,1,10
355,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,6
357,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,6
358,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,6
360,-68.7995,44.3334,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"44.3334,-68.7995",Maine,United States,1901-07-01,1,8
361,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,8
362,-68.799,44.3315,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.3315,-68.799",Maine,United States,1901-07-01,1,3
364,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,4
365,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,2
368,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,7
369,-69.5062,43.837,New Harbor,1901,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"43.837,-69.5062",Maine,United States,1901-07-01,1,2
370,-68.799,44.3315,Harborside,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.3315,-68.799",Maine,United States,1901-07-01,1,3
371,-69.4685,43.8931,Chamberlain,1901,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"43.8931,-69.4685",Maine,United States,1901-07-01,1,10
372,-64.3614,45.1593,Kingsport,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"45.1593,-64.3614",Nova Scotia,Canada,1901-07-01,1,7
373,-62.6216,45.6852,Chance Harbour,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6852,-62.6216",Nova Scotia,Canada,1901-07-01,1,4
376,-62.7,45.6667,Pictou Landing,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6667,-62.7",Nova Scotia,Canada,1901-07-01,1,6
380,-62.7,45.6667,Pictou Landing,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6667,-62.7",Nova Scotia,Canada,1901-07-01,1,5
383,-62.6512,45.6868,Pictou Landing,1901,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"45.6868,-62.6512",Nova Scotia,Canada,1901-07-01,1,2
392,9.0,57.0,Øsløs,1901,8.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1901-08-01,1,9
393,9.0,57.0,Øsløs,1901,8.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1901-08-01,1,9
394,9.0,57.0,Øsløs,1901,8.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"57.0,9.0",Region Nordjylland,Danmark,1901-08-01,1,3
421,-63.5566,44.5695,Herring Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"44.5695,-63.5566",Nova Scotia,Canada,1901-09-01,1,4
423,-72.9892,41.2282,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2282,-72.9892",Connecticut,United States,1901-09-01,1,6
424,-63.5598,44.5981,Fergusons Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.5981,-63.5598",Nova Scotia,Canada,1901-09-01,1,8
425,-63.5566,44.5695,Herring Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"44.5695,-63.5566",Nova Scotia,Canada,1901-09-01,1,8
426,-63.5598,44.5981,Fergusons Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.5981,-63.5598",Nova Scotia,Canada,1901-09-01,1,5
427,-72.9892,41.2282,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2282,-72.9892",Connecticut,United States,1901-09-01,1,5
429,-63.5566,44.5695,Herring Cove,1901,9.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria digitata,"44.5695,-63.5566",Nova Scotia,Canada,1901-09-01,1,6
430,-63.5598,44.5981,Fergusons Cove,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"44.5981,-63.5598",Nova Scotia,Canada,1901-09-01,1,9
432,-72.9892,41.2282,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2282,-72.9892",Connecticut,United States,1901-09-01,1,10
434,-72.9895,41.2272,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2272,-72.9895",Connecticut,United States,1901-09-01,1,9
436,-72.9895,41.2272,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.2272,-72.9895",Connecticut,United States,1901-09-01,1,9
439,-72.9902,41.227,Woodmont,1901,9.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"41.227,-72.9902",Connecticut,United States,1901-09-01,1,10
449,-70.9309,42.4349,Nahant,1901,11.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"42.4349,-70.9309",Massachusetts,United States,1901-11-01,1,10
450,-70.9309,42.4349,Nahant,1901,11.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"42.4349,-70.9309",Massachusetts,United States,1901-11-01,1,5
451,-70.6684,41.5298,Woods Hole,1901,12.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"41.5298,-70.6684",Massachusetts,United States,1901-12-01,1,9
469,12.0,56.0,Asserbo,1902,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"56.0,12.0",Region Hovedstaden,Danmark,1902-04-01,1,5
470,12.0,56.0,Asserbo,1902,4.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus serratus,"56.0,12.0",Region Hovedstaden,Danmark,1902-04-01,1,9
471,12.0,56.0,Asserbo,1902,4.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"56.0,12.0",Region Hovedstaden,Danmark,1902-04-01,1,5
473,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,5
474,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,6
475,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,6
476,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,4
477,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,10
478,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,3
479,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,5
480,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,6
481,9.0,57.0,Øsløs,1902,5.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,9.0",Region Nordjylland,Danmark,1902-05-01,1,8
508,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.0,-7.0",Streymoyar sýsla,Føroyar,1902-07-01,1,7
509,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Alariaceae,Alaria,Alaria esculenta,"62.0,-7.0",Streymoyar sýsla,Føroyar,1902-07-01,1,9
513,-7.13,62.15,Vestmanna,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"62.15,-7.13",Streymoyar sýsla,Føroyar,1902-07-01,1,9
514,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"62.0,-7.0",Streymoyar sýsla,Føroyar,1902-07-01,1,10
515,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,2
516,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Ascophyllum,Ascophyllum nodosum,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,10
519,-6.32,62.28,Svínoy,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.28,-6.32",Norðoya sýsla,Føroyar,1902-07-01,1,9
520,-6.8,62.23,Fuglafjørður,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"62.23,-6.8",Eysturoyar sýsla,Føroyar,1902-07-01,1,6
531,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,5
532,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus spiralis,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,6
533,-6.32,62.28,Svínoy,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"62.28,-6.32",Norðoya sýsla,Føroyar,1902-07-01,1,2
535,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,2
536,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,8
537,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Fucaceae,Fucus,Fucus vesiculosus,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,3
540,9.0,57.0,Øsløs,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,9.0",Region Nordjylland,Danmark,1902-07-01,1,4
541,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,5
542,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,5
543,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,8
544,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,10
545,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Sargassaceae,Halidrys,Halidrys siliquosa,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,10
547,-7.0,62.0,Koltur,1902,7.0,Chromista,Phaeophyceae,Himanthaliaceae,Himanthalia,Himanthalia elongata,"62.0,-7.0",Streymoyar sýsla,Føroyar,1902-07-01,1,6
548,-6.73,62.18,Syðrugøta,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"62.18,-6.73",Eysturoyar sýsla,Føroyar,1902-07-01,1,9
549,-6.58,62.23,Klaksvik,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"62.23,-6.58",Norðoya sýsla,Føroyar,1902-07-01,1,2
550,-6.58,62.23,Klaksvik,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"62.23,-6.58",Norðoya sýsla,Føroyar,1902-07-01,1,8
555,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,4
556,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,4
557,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,7
558,10.0,57.0,Gistrup,1902,7.0,Chromista,Phaeophyceae,Laminariaceae,Laminaria,Laminaria hyperborea,"57.0,10.0",Region Nordjylland,Danmark,1902-07-01,1,9
560,-6.73,62.18,Syðrugøta,1902,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.18,-6.73",Eysturoyar sýsla,Føroyar,1902-07-01,1,4
561,-6.73,62.18,Syðrugøta,1902,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.18,-6.73",Eysturoyar sýsla,Føroyar,1902-07-01,1,9
562,-6.73,62.18,Syðrugøta,1902,7.0,Plantae,Florideophyceae,Palmariaceae,Palmaria,Palmaria palmata,"62.18,-6.73",Eysturoyar sýsla,Føroyar,1902-07-01,1,6
